,location,number_of_accidents
700,"(33.7462, -118.3064)",2
701,"(33.7464, -118.3108)",1
702,"(33.7465, -118.2801)",6
703,"(33.7465, -118.2901)",1
704,"(33.7465, -118.3096)",3
705,"(33.7468, -118.2935)",4
706,"(33.7468, -118.2945)",2
707,"(33.7468, -118.2967)",5
708,"(33.7468, -118.2989)",7
709,"(33.7468, -118.3011)",2
710,"(33.7468, -118.3135)",5
711,"(33.7468, -118.3142)",2
712,"(33.7468, -118.3162)",2
713,"(33.7468, -118.318)",2
714,"(33.7469, -118.2817)",5
715,"(33.7469, -118.2835)",5
716,"(33.7469, -118.2857)",4
717,"(33.7469, -118.2868)",1
718,"(33.7469, -118.2879)",17
719,"(33.747, -118.3028)",4
720,"(33.747, -118.3042)",8
721,"(33.747, -118.3064)",2
722,"(33.747, -118.3087)",3
723,"(33.7472, -118.3096)",27
724,"(33.7473, -118.2621)",2
725,"(33.7474, -118.3011)",9
726,"(33.7476, -118.2935)",26
727,"(33.7476, -118.2948)",3
728,"(33.7476, -118.2953)",4
729,"(33.7476, -118.2967)",7
730,"(33.7476, -118.2989)",21
731,"(33.7477, -118.2766)",1
732,"(33.7477, -118.2929)",62
733,"(33.7478, -118.2817)",1
734,"(33.7478, -118.2835)",1
735,"(33.7478, -118.2857)",1
736,"(33.7478, -118.2879)",5
737,"(33.7478, -118.3028)",4
738,"(33.7478, -118.3042)",1
739,"(33.7478, -118.3064)",1
740,"(33.748, -118.2922)",1
741,"(33.7483, -118.2931)",126
742,"(33.7484, -118.2646)",1
743,"(33.7484, -118.2923)",2
744,"(33.7484, -118.2929)",3
745,"(33.7484, -118.2943)",4
746,"(33.7484, -118.2948)",3
747,"(33.7484, -118.2967)",2
748,"(33.7484, -118.3041)",1
749,"(33.7485, -118.2989)",2
750,"(33.7485, -118.3011)",6
751,"(33.7486, -118.2803)",8
752,"(33.7486, -118.2805)",22
753,"(33.7486, -118.3011)",1
754,"(33.7486, -118.3028)",1
755,"(33.7487, -118.3026)",3
756,"(33.7489, -118.2798)",41
757,"(33.749, -118.263)",2
758,"(33.7492, -118.2632)",13
759,"(33.7492, -118.2807)",4
760,"(33.7492, -118.2923)",1
761,"(33.7492, -118.2943)",3
762,"(33.7492, -118.2967)",1
763,"(33.7492, -118.2989)",1
764,"(33.7493, -118.2876)",20
765,"(33.7494, -118.2803)",2
766,"(33.7495, -118.2932)",1
767,"(33.7495, -118.3011)",3
768,"(33.7496, -118.281)",2
769,"(33.7498, -118.2782)",2
770,"(33.7499, -118.2875)",1
771,"(33.75, -118.2885)",4
772,"(33.75, -118.29)",1
773,"(33.75, -118.2923)",1
774,"(33.75, -118.2967)",6
775,"(33.75, -118.2989)",1
776,"(33.7501, -118.2846)",3
777,"(33.7501, -118.3092)",107
778,"(33.7502, -118.3103)",4
779,"(33.7503, -118.2945)",1
780,"(33.7503, -118.3011)",4
781,"(33.7505, -118.2967)",1
